===== 2025-04-13T19:19:21.113764900 =====
Process: postgres.exe, PID: 8360, CPU Time: N/A => OK
Process: postgres.exe, PID: 8388, CPU Time: N/A => OK
Process: jtagserver.exe, PID: 8520, CPU Time: N/A => OK
Process: postgres.exe, PID: 8596, CPU Time: N/A => OK
Process: postgres.exe, PID: 8604, CPU Time: N/A => OK
Process: postgres.exe, PID: 8612, CPU Time: N/A => OK
Process: sihost.exe, PID: 8772, CPU Time: N/A => OK
Process: svchost.exe, PID: 8804, CPU Time: N/A => OK
Process: svchost.exe, PID: 8816, CPU Time: N/A => OK
Process: svchost.exe, PID: 8860, CPU Time: N/A => OK
Process: svchost.exe, PID: 8924, CPU Time: Windows Push Notifications Platform => OK
Process: taskhostw.exe, PID: 9008, CPU Time: Task Host Window => OK
Process: svchost.exe, PID: 8432, CPU Time: N/A => OK
Process: explorer.exe, PID: 9620, CPU Time: N/A => OK
Process: svchost.exe, PID: 9668, CPU Time: N/A => OK
Process: svchost.exe, PID: 9844, CPU Time: N/A => OK
Process: NahimicAPO4Volume.exe, PID: 10184, CPU Time: N/A => OK
Process: svchost.exe, PID: 3684, CPU Time: N/A => OK
Process: svchost.exe, PID: 10284, CPU Time: N/A => OK
Process: SearchHost.exe, PID: 10684, CPU Time: Поиск => OK
Process: StartMenuExperienceHost.exe, PID: 10696, CPU Time: Пуск => OK
Process: CNAB4RPD.EXE, PID: 10788, CPU Time: N/A => OK
Process: RuntimeBroker.exe, PID: 10820, CPU Time: OLEChannelWnd => OK
Process: RuntimeBroker.exe, PID: 11100, CPU Time: N/A => OK
Process: svchost.exe, PID: 11156, CPU Time: N/A => OK
Process: nvcontainer.exe, PID: 11456, CPU Time: UxdService => OK
Process: WmiPrvSE.exe, PID: 11464, CPU Time: N/A => OK
Process: nvcontainer.exe, PID: 11588, CPU Time: {2A335767-FC94-417F-ABC4-B4122ADBEE60} => OK
Process: nvcontainer.exe, PID: 11664, CPU Time: BroadcastListenerWindow => OK
Process: nodejs.exe, PID: 13120, CPU Time: C:\Program Files (x86)\nodejs\nodejs.exe => OK
Process: conhost.exe, PID: 12148, CPU Time: N/A => OK
Process: svchost.exe, PID: 11060, CPU Time: N/A => OK
Process: dllhost.exe, PID: 8472, CPU Time: OleMainThreadWndName => OK
Process: nvsphelper64.exe, PID: 13020, CPU Time: {1274D398-C3C8-422E-87DD-2FAFFD5A7F2F} => OK
Process: NVIDIA Overlay.exe, PID: 10100, CPU Time: NVIDIA GeForce Overlay => OK
Process: ctfmon.exe, PID: 9644, CPU Time: N/A => OK
Process: NVIDIA Overlay.exe, PID: 13028, CPU Time: N/A => OK
Process: SearchIndexer.exe, PID: 12904, CPU Time: N/A => OK
Process: NVIDIA Overlay.exe, PID: 13724, CPU Time: N/A => OK
Process: NVIDIA Overlay.exe, PID: 13736, CPU Time: N/A => OK
Process: NVIDIA Overlay.exe, PID: 13784, CPU Time: N/A => OK
Process: BraveCrashHandler.exe, PID: 14216, CPU Time: N/A => OK
Process: BraveCrashHandler64.exe, PID: 14260, CPU Time: N/A => OK
Process: svchost.exe, PID: 5940, CPU Time: N/A => OK
Process: FnHotkeyCapsLKNumLK.exe, PID: 11904, CPU Time: Fn_Hotkey_CapsLKNumLK => OK
Process: FnHotkeyUtility.exe, PID: 13672, CPU Time: FnHotkeyUtility => OK
Process: unsecapp.exe, PID: 14112, CPU Time: OleMainThreadWndName => OK
Process: NisSrv.exe, PID: 14692, CPU Time: N/A => OK
Process: LenovoVantage-(VantageCoreAddin).exe, PID: 15000, CPU Time: N/A => OK
Process: TextInputHost.exe, PID: 14760, CPU Time: Интерфейс ввода Windows => OK
Process: LenovoVantage-(LenovoGamingSystemAddin).exe, PID: 15184, CPU Time: N/A => OK
Process: RtkAudUService64.exe, PID: 14180, CPU Time: RealtekAudioBackgroundProcessClass => OK
Process: utweb.exe, PID: 15700, CPU Time: µTorrent Web => OK
Process: helper.exe, PID: 16528, CPU Time: N/A => OK
Process: svchost.exe, PID: 16868, CPU Time: N/A => OK
Process: NhNotifSys.exe, PID: 9684, CPU Time: N/A => OK
Process: svchost.exe, PID: 17148, CPU Time: N/A => OK
Process: svchost.exe, PID: 2016, CPU Time: N/A => OK
Process: uhssvc.exe, PID: 12396, CPU Time: N/A => OK
Process: svchost.exe, PID: 16228, CPU Time: N/A => OK
Process: svchost.exe, PID: 2968, CPU Time: N/A => OK
Process: ShellExperienceHost.exe, PID: 10636, CPU Time: Быстрые настройки => OK
Process: svchost.exe, PID: 10728, CPU Time: N/A => OK
Process: LenovoVantage-(GenericMessagingAddin).exe, PID: 2368, CPU Time: N/A => OK
Process: Locator.exe, PID: 5672, CPU Time: N/A => OK
Process: WmiApSrv.exe, PID: 6444, CPU Time: N/A => OK
Process: svchost.exe, PID: 15832, CPU Time: N/A => OK
Process: backgroundTaskHost.exe, PID: 8172, CPU Time: N/A => OK
Process: RuntimeBroker.exe, PID: 17164, CPU Time: N/A => OK
Process: svchost.exe, PID: 8368, CPU Time: N/A => OK
Process: SecurityHealthService.exe, PID: 1520, CPU Time: N/A => OK
Process: chrome.exe, PID: 4476, CPU Time: FCIM_SO-LL5-RU_CR.pdf - Google Chrome => OK
Process: chrome.exe, PID: 9544, CPU Time: N/A => OK
Process: chrome.exe, PID: 11992, CPU Time: N/A => OK
Process: chrome.exe, PID: 16004, CPU Time: OleMainThreadWndName => OK
Process: chrome.exe, PID: 2036, CPU Time: N/A => OK
Process: chrome.exe, PID: 6864, CPU Time: N/A => OK
Process: chrome.exe, PID: 6548, CPU Time: N/A => OK
Process: chrome.exe, PID: 8936, CPU Time: N/A => OK
Process: chrome.exe, PID: 8128, CPU Time: N/A => OK
Process: audiodg.exe, PID: 11484, CPU Time: N/A => OK
Process: chrome.exe, PID: 8272, CPU Time: N/A => OK
Process: RuntimeBroker.exe, PID: 7416, CPU Time: N/A => OK
Process: SystemSettingsBroker.exe, PID: 964, CPU Time: N/A => OK
Process: svchost.exe, PID: 5064, CPU Time: N/A => OK
Process: dllhost.exe, PID: 16572, CPU Time: OleMainThreadWndName => OK
Process: VirtualBox.exe, PID: 4140, CPU Time: Oracle VirtualBox Менеджер => OK
Process: VBoxSVC.exe, PID: 15212, CPU Time: VBoxPowerNotifyClass => OK
Process: VBoxSDS.exe, PID: 13768, CPU Time: N/A => OK
Process: ChatGPT.exe, PID: 9720, CPU Time: Автозапуск и мониторинг процессов => OK
Process: ChatGPT.exe, PID: 3572, CPU Time: N/A => OK
Process: ChatGPT.exe, PID: 17096, CPU Time: N/A => OK
Process: ChatGPT.exe, PID: 9392, CPU Time: OleMainThreadWndName => OK
Process: ChatGPT.exe, PID: 2468, CPU Time: N/A => OK
Process: Telegram.exe, PID: 1696, CPU Time: Telegram (11068) => OK
Process: UserOOBEBroker.exe, PID: 10060, CPU Time: N/A => OK
Process: svchost.exe, PID: 996, CPU Time: N/A => OK
Process: svchost.exe, PID: 3300, CPU Time: N/A => OK
Process: chrome.exe, PID: 16684, CPU Time: N/A => OK
Process: chrome.exe, PID: 2284, CPU Time: N/A => OK
Process: chrome.exe, PID: 4428, CPU Time: N/A => OK
Process: chrome.exe, PID: 4120, CPU Time: N/A => OK
Process: svchost.exe, PID: 8628, CPU Time: N/A => OK
Process: msedge.exe, PID: 16852, CPU Time: N/A => OK
Process: msedge.exe, PID: 2712, CPU Time: N/A => OK
Process: msedge.exe, PID: 7812, CPU Time: N/A => OK
Process: msedge.exe, PID: 7292, CPU Time: OleMainThreadWndName => OK
Process: msedge.exe, PID: 13856, CPU Time: N/A => OK
Process: msedge.exe, PID: 10572, CPU Time: N/A => OK
Process: msedge.exe, PID: 12420, CPU Time: N/A => OK
Process: svchost.exe, PID: 8620, CPU Time: N/A => OK
Process: smartscreen.exe, PID: 7028, CPU Time: N/A => OK
Process: svchost.exe, PID: 5824, CPU Time: N/A => OK
Process: idea64.exe, PID: 5604, CPU Time: lab5 – ProcessMonitor.java => OK
Process: fsnotifier.exe, PID: 16520, CPU Time: N/A => OK
Process: conhost.exe, PID: 4312, CPU Time: N/A => OK
Process: TabNine.exe, PID: 16192, CPU Time: N/A => OK
Process: conhost.exe, PID: 16664, CPU Time: N/A => OK
Process: WD-TabNine.exe, PID: 5632, CPU Time: N/A => OK
Process: TabNine.exe, PID: 6800, CPU Time: N/A => OK
Process: TabNine-deep-local.exe, PID: 18268, CPU Time: N/A => OK
Process: WmiPrvSE.exe, PID: 12412, CPU Time: N/A => OK
Process: chrome.exe, PID: 3104, CPU Time: N/A => OK
Process: chrome.exe, PID: 18248, CPU Time: N/A => OK
Process: java.exe, PID: 14372, CPU Time: N/A => OK
Process: conhost.exe, PID: 17892, CPU Time: N/A => OK
Process: java.exe, PID: 968, CPU Time: N/A => OK
Process: conhost.exe, PID: 8204, CPU Time: N/A => OK
Process: tasklist.exe, PID: 17868, CPU Time: N/A => OK
Process: conhost.exe, PID: 5088, CPU Time: N/A => OK
====================================

===== 2025-04-13T19:23:02.123852300 =====
Process: chrome.exe, PID: 4476, CPU Time: FCIM_SO-LL5-RU_CR.pdf - Google Chrome => OK
Process: chrome.exe, PID: 9544, CPU Time: N/A => OK
Process: chrome.exe, PID: 11992, CPU Time: N/A => OK
Process: chrome.exe, PID: 16004, CPU Time: OleMainThreadWndName => OK
Process: chrome.exe, PID: 2036, CPU Time: N/A => OK
Process: chrome.exe, PID: 6864, CPU Time: N/A => OK
Process: chrome.exe, PID: 6548, CPU Time: N/A => OK
Process: chrome.exe, PID: 8936, CPU Time: N/A => OK
Process: chrome.exe, PID: 8128, CPU Time: N/A => OK
Process: chrome.exe, PID: 8272, CPU Time: N/A => OK
Process: chrome.exe, PID: 16684, CPU Time: N/A => OK
Process: chrome.exe, PID: 2284, CPU Time: N/A => OK
Process: chrome.exe, PID: 4428, CPU Time: N/A => OK
Process: chrome.exe, PID: 4120, CPU Time: N/A => OK
Process: msedge.exe, PID: 16852, CPU Time: N/A => OK
Process: msedge.exe, PID: 2712, CPU Time: N/A => OK
Process: msedge.exe, PID: 7812, CPU Time: N/A => OK
Process: msedge.exe, PID: 7292, CPU Time: OleMainThreadWndName => OK
Process: msedge.exe, PID: 13856, CPU Time: N/A => OK
Process: msedge.exe, PID: 10572, CPU Time: N/A => OK
Process: msedge.exe, PID: 12420, CPU Time: N/A => OK
Process: TabNine.exe, PID: 16192, CPU Time: N/A => OK
Process: WD-TabNine.exe, PID: 5632, CPU Time: N/A => OK
Process: TabNine.exe, PID: 6800, CPU Time: N/A => OK
Process: TabNine-deep-local.exe, PID: 18268, CPU Time: N/A => OK
Process: chrome.exe, PID: 18248, CPU Time: N/A => OK
====================================


===== 2025-04-13T19:24:34.361802200 =====
====================================

===== 2025-04-13T19:27:08.131948200 =====
Process: chrome.exe                | PID: 4476   | CPU Time: FCIM_SO-LL5-RU_CR.pdf - Google Chrome | Minutes: 0Process: chrome.exe                | PID: 4476   | CPU Time: FCIM_SO-LL5-RU_CR.pdf - Google Chrome | Minutes: 0 => OK
Process: chrome.exe                | PID: 9544   | CPU Time: N/A      | Minutes: 0Process: chrome.exe                | PID: 9544   | CPU Time: N/A      | Minutes: 0 => OK
Process: chrome.exe                | PID: 11992  | CPU Time: N/A      | Minutes: 0Process: chrome.exe                | PID: 11992  | CPU Time: N/A      | Minutes: 0 => OK
Process: chrome.exe                | PID: 16004  | CPU Time: OleMainThreadWndName | Minutes: 0Process: chrome.exe                | PID: 16004  | CPU Time: OleMainThreadWndName | Minutes: 0 => OK
Process: chrome.exe                | PID: 2036   | CPU Time: N/A      | Minutes: 0Process: chrome.exe                | PID: 2036   | CPU Time: N/A      | Minutes: 0 => OK
Process: chrome.exe                | PID: 6864   | CPU Time: N/A      | Minutes: 0Process: chrome.exe                | PID: 6864   | CPU Time: N/A      | Minutes: 0 => OK
Process: chrome.exe                | PID: 6548   | CPU Time: N/A      | Minutes: 0Process: chrome.exe                | PID: 6548   | CPU Time: N/A      | Minutes: 0 => OK
Process: chrome.exe                | PID: 8936   | CPU Time: N/A      | Minutes: 0Process: chrome.exe                | PID: 8936   | CPU Time: N/A      | Minutes: 0 => OK
